parentTconst,seasonNumber,episodeNumber,averageRating,numVotes
tt0159876,9.0,3.0,6.3,59.0
tt0806910,1.0,124.0,6.3,52.0
tt0806910,1.0,125.0,5.8,55.0
tt0806910,1.0,126.0,6.8,357.0
tt0806910,1.0,131.0,6.7,196.0
tt0806910,1.0,130.0,6.7,68.0
tt0806910,1.0,128.0,5.8,26.0
tt0806910,1.0,123.0,6.8,77.0
tt0046593,28.0,22.0,7.3,36.0
tt0159876,12.0,2.0,6.5,181.0
tt0080231,1.0,10.0,6.5,679.0
tt0083437,1.0,1.0,7.3,2359.0
tt0806910,1.0,133.0,6.6,81.0
tt0806910,1.0,137.0,4.5,33.0
tt0046593,28.0,14.0,7.2,42.0
tt0806910,1.0,139.0,5.9,65.0
tt0806910,1.0,132.0,5.2,54.0
tt0806910,1.0,138.0,6.8,261.0
tt0806910,1.0,134.0,6.7,193.0
tt0806910,1.0,140.0,5.5,33.0
tt0806910,1.0,143.0,7.2,228.0
tt0806910,1.0,135.0,5.4,59.0
tt0046593,28.0,12.0,8.4,44.0
tt0806910,1.0,147.0,5.9,33.0
tt0159876,11.0,11.0,6.2,84.0
tt0806910,1.0,152.0,6.0,60.0
tt0806910,1.0,146.0,6.6,170.0
tt0806910,1.0,144.0,5.6,37.0
tt0806910,1.0,148.0,7.5,146.0
tt0806910,1.0,149.0,6.1,40.0
tt0080231,1.0,8.0,6.6,755.0
tt0806910,1.0,160.0,6.3,61.0
tt0086759,1.0,1.0,8.3,2634.0
tt0806910,1.0,169.0,6.3,56.0
tt0086765,1.0,0.0,8.0,1472.0
tt0806910,1.0,163.0,6.1,29.0
tt0806910,1.0,154.0,6.0,53.0
tt0806910,1.0,157.0,6.3,79.0
tt0806910,1.0,156.0,6.7,179.0
tt0806910,1.0,164.0,6.4,153.0
tt0806910,1.0,158.0,6.3,43.0
tt0806910,1.0,155.0,5.8,47.0
tt0806910,1.0,159.0,6.7,191.0
tt0046593,31.0,5.0,6.7,93.0
tt0806910,1.0,187.0,5.5,39.0
tt0159876,15.0,2.0,9.3,92.0
tt0159876,13.0,24.0,7.5,44.0
tt0159876,13.0,13.0,8.8,57.0
tt0159876,13.0,10.0,9.1,138.0
tt0159876,15.0,1.0,7.8,239.0
tt0088571,1.0,1.0,7.6,2811.0
tt0806910,1.0,176.0,5.9,68.0
tt0806910,1.0,166.0,6.5,57.0
tt0806910,1.0,171.0,6.5,176.0
tt0806910,1.0,170.0,5.6,42.0
tt0806910,1.0,167.0,6.0,163.0
tt0806910,1.0,172.0,6.2,26.0
tt0806910,1.0,174.0,5.8,45.0
